"","14050304_COA_CAS","14050304_COA_Name_list","14050304_COA_Name_file","14050304_COA_R.time","14050304_COA_ppb","14050304_COA_ug/m3","14050304_COA_Probability"
"88","1640-89-7","Ethylcyclopentane",NA,NA,NA,NA,NA
"89","2213-23-2","2,4-Dimethylheptane",NA,NA,NA,NA,NA
"90","2216-33-3","3-Methyloctane",NA,NA,NA,NA,NA
"91","2452-99-5","1,2-Dimethylcyclopentane",NA,NA,NA,NA,NA
"92","2453-00-1","1,3-Dimethylcyclopentane",NA,NA,NA,NA,NA
"93","25551-13-7","Triméthylbenzene",NA,NA,NA,NA,NA
"94","287-92-3","Cyclopentane","Cyclopentane",6.38,4.61388281521815,13.3802601641326,98
"95","31017-40-0","4-Phenylcyclohexane",NA,NA,NA,NA,NA
"96","31807-55-3","2,2,4,6-Pentamethylheptane",NA,NA,NA,NA,NA
"97","34590-94-8","Dipropylene Glycol Methyl Ether",NA,NA,NA,NA,NA
"98","431-03-8","Diacetyl",NA,NA,NA,NA,NA
"99","470-67-7","Isocineole",NA,NA,NA,NA,NA
"100","470-82-6","Eucalyptol",NA,NA,NA,NA,NA
"101","5131-66-8","1-Butoxy-2-Propanol",NA,NA,NA,NA,NA
"102","513-53-1","2-Butanethiol",NA,NA,NA,NA,NA
"103","513-86-0","Acetoin",NA,NA,NA,NA,NA
"104","51-79-6","Urethane",NA,NA,NA,NA,NA
"105","526-73-8","1,2,3-Trimethylbenzene",NA,NA,NA,NA,NA
"106","534-15-6","1,1-Dimethoxyethane",NA,NA,NA,NA,NA
"107","5392-40-5","Citral",NA,NA,NA,NA,NA
"108","540-51-2","2-Bromoethanol",NA,NA,NA,NA,NA
"109","540-84-1","Isooctane",NA,NA,NA,NA,NA
"110","541-05-9","Hexamethylcyclotrisiloxane",NA,NA,NA,NA,NA
"111","541-73-1","1,3 Dichlorobenzene",NA,NA,NA,NA,NA
"112","543-59-9","1-chloropentane",NA,NA,NA,NA,NA
"113","56-23-5","Carbon Tetrachloride",NA,NA,NA,NA,NA
"114","562-49-2","3,3-Dimethylpentane",NA,NA,NA,NA,NA
"115","565-59-3","2,3-Dimethylpentane",NA,NA,NA,NA,NA
"116","583-57-3","1,2-Dimethylcyclohexane",NA,NA,NA,NA,NA
"117","589-34-4","3-Methylhexane",NA,NA,NA,NA,NA
"118","590-35-2","2,2-Dimethylpentane",NA,NA,NA,NA,NA
"119","591-68-4","Butyl valerate",NA,NA,NA,NA,NA
"120","591-76-4","2-Methylhexane",NA,NA,NA,NA,NA
"121","592-13-2","2,5-Dimethylhexane",NA,NA,NA,NA,NA
"122","592-27-8","2-Methylheptane",NA,NA,NA,NA,NA
"123","5989-27-5","D-Limonene",NA,NA,NA,NA,NA
"124","600-14-6","2,3-Pentadione",NA,NA,NA,NA,NA
"125","60-29-7","Ethyl Ether",NA,NA,NA,NA,NA
"126","6032-29-7","2-Pentanol",NA,NA,NA,NA,NA
"127","611-14-3","2-Ethyltoluene",NA,NA,NA,NA,NA
"128","620-02-0","5-Methyl Furfural",NA,NA,NA,NA,NA
"129","620-14-4","m-Ethyltoluene",NA,NA,NA,NA,NA
"130","622-96-8","4-Ethyl Toluene",NA,NA,NA,NA,NA
"131","623-42-7","Methyl Butyrate",NA,NA,NA,NA,NA
"132","624-41-9","2-Methyl-1-Butyl Acetate",NA,NA,NA,NA,NA
"133","637-92-3","ETBE (ethyl-tert-butyl-ether)",NA,NA,NA,NA,NA
"134","64-17-5","Ethanol","Ethyl Alcohol",4.31,105.088012547195,197.565463588726,98
"135","67-63-0","Isopropyl Alcohol","Isopropyl Alcohol",4.78,24.1823683119313,59.4886260473511,98
"136","67-64-1","Acetone","Acetone",4.67,26.3055470716362,63.1333129719269,97
"137","67-66-3","Chloroform",NA,NA,NA,NA,NA
"138","71-23-8","1-Propanol",NA,NA,NA,NA,NA
"139","71-36-3","1-Butyl Alcohol",NA,NA,NA,NA,NA
"140","71-41-0","1-Pentanol",NA,NA,NA,NA,NA
"141","71-43-2","Benzene",NA,NA,NA,NA,NA
"142","71-55-6","Methyl Chloroform",NA,NA,NA,NA,NA
"143","7452-79-1","Ethyl 2-Methylbutanoate",NA,NA,NA,NA,NA
"144","74-83-9","Methyl Bromide",NA,NA,NA,NA,NA
"145","74-87-3","Chloromethane",NA,NA,NA,NA,NA
"146","64047","Acetonitrile",NA,NA,NA,NA,NA
"147","64164","Methylene Chloride",NA,NA,NA,NA,NA
"148","75-18-3","Dimethylsulfide",NA,NA,NA,NA,NA
"149","75-28-5","Isobutane","Isobutane",3.87,44.7452391254589,107.388573901101,96
"150","75-29-6","Isopropyl chloride",NA,NA,NA,NA,NA
"151","75-34-3","1,1-Dichloroethane",NA,NA,NA,NA,NA
"152","75-65-0","2-Methyl-2-Propanol",NA,NA,NA,NA,NA
"153","75-85-4","2-Methyl-2-Butanol",NA,NA,NA,NA,NA
"154","76-22-2","Camphor",NA,NA,NA,NA,NA
"155","7785-70-8","Alpha-Pinene (1R)",NA,NA,NA,NA,NA
"156","78-70-6","Linalol",NA,NA,NA,NA,NA
"157","78-78-4","2-Methylbutane",NA,NA,NA,NA,NA
"158","78-83-1","2-Methyl-1-Propanol",NA,NA,NA,NA,NA
"159","78-92-2","2-Butyl Alcohol",NA,NA,NA,NA,NA
"160","78-93-3","2-Butanone (MEK)",NA,NA,NA,NA,NA
"161","65386","Trichloroethylene",NA,NA,NA,NA,NA
"162","79-20-9","Methyl Acetate",NA,NA,NA,NA,NA
"163","79-92-5","Camphene",NA,NA,NA,NA,NA
"164","80-62-6","Methyl Methacrylate",NA,NA,NA,NA,NA
"165","868-57-5","Methyl-2-méthylbutyrate",NA,NA,NA,NA,NA
"166","872-50-4","1-Methyl-2-Pyrrolidinone",NA,NA,NA,NA,NA
"167","91-20-3","Naphtalène",NA,NA,NA,NA,NA
"168","95-47-6","O-Xylene",NA,NA,NA,NA,NA
"169","95-50-1","1,2-Dichlorobenzene",NA,NA,NA,NA,NA
"170","95-63-6","1,2,4-Trimethylbenzene",NA,NA,NA,NA,NA
"171","96-14-0","3-Methylpentane",NA,NA,NA,NA,NA
"172","96-33-3","Methyl Acrylate",NA,NA,NA,NA,NA
"173","96-37-7","Methylcyclopentane",NA,NA,NA,NA,NA
"174","96-47-9","2-Methyltetrahydrofuran",NA,NA,NA,NA,NA
"175","97-62-1","Ethyl Isobutyrate",NA,NA,NA,NA,NA
"176","97-63-2","Ethyl Methacrylate",NA,NA,NA,NA,NA
"177","97-85-8","Isobutyl Isobutyrate",NA,NA,NA,NA,NA
"178","98-00-0","Furfuryl Alcohol",NA,NA,NA,NA,NA
"179","72321","Furfuraldehyde",NA,NA,NA,NA,NA
"180","98-82-8","Cumene",NA,NA,NA,NA,NA
"181","98-83-9","Methyl Styrene",NA,NA,NA,NA,NA
"182","98-86-2","Acetophenone",NA,NA,NA,NA,NA
"183","99-49-0","Carvone",NA,NA,NA,NA,NA
"184","99-87-6","Cymene",NA,NA,NA,NA,NA
"185","100-52-7","Benzaldehyde","Benzaldehyde",NA,NA,NA,NA
"186","111-30-8","Glutaradehyde","Glutaraldehyde",NA,NA,NA,NA
"187","123-38-6","Propionaldehyde","Propionaldehyde",NA,NA,NA,NA
"188","123-72-8","Butyraldehyde","Butyraldehyde",NA,1.35349497888029,3.92513543875283,NA
"189","4170-30-3","Crotonaldehyde","Crotonaldehyde",NA,NA,NA,NA
"190","50-00-0","Formaldehyde","Formaldehyde",NA,13.5773349293266,16.835895312365,NA
"191","643-79-8","O-Phtalaldehyde","o-Phthalaldehyde",NA,NA,NA,NA
"192","66-25-1","Hexaldehyde","Hexaldehyde",NA,1.38666553828519,5.68532870696927,NA
"193","17302-37-3","2,2-dimethyldecane",NA,NA,NA,NA,NA
"194","1678-91-7","Ethylcyclohexane",NA,NA,NA,NA,NA
"195","110-88-3","1,3,5-Trioxane",NA,NA,NA,NA,NA
"196","556-67-2","Octamethylcyclotetrasiloxane",NA,NA,NA,NA,NA
"197","3522-94-9","2,2,5-Trymethylhexane",NA,NA,NA,NA,NA
"198","75-07-0","Acetaldehyde","Acetaldehyde",NA,5.30197722074094,9.54355899733369,NA
"199","109-92-2","Ethylvinylether",NA,NA,NA,NA,NA
"200","99-85-4","γ-Terpinene",NA,NA,NA,NA,NA
"201","565-75-3","2,3,4-Trimethylpentane",NA,NA,NA,NA,NA
"202","107-01-7","2-butene",NA,NA,NA,NA,NA
"203","560-21-4","2,3,3-Trimethylpentane",NA,NA,NA,NA,NA
"204","584-94-1","2,3-Dimethylhexane",NA,NA,NA,NA,NA
"205","100-100-100-100","Total(As Toluene)","Total(As Toluene)",NA,54.9694002118727,206.135250794523,NA
"206","100-100-100-100","Total(As Toluene)","Total(As Toluene)",NA,54.9694002118727,206.135250794523,NA
